REGION,COMMUNE_old,commune,Population 2006,projected_population,Population desservie,Population non desservie,access
SAH,MARKOYE,MARKOYE,27473,33378,16788,16590,50.29660255
SAH,OURSI,OURSI,15809,19204,5797,13407,30.1864195
SAH,TIN-AKOFF,TIN-AKOFF,21012,25524,5324,20200,20.85879956
SAH,BANI,BANI,58455,71013,43889,27124,61.8041767
SAH,DORI,DORI,85732,104165,65555,38610,62.93380694
SAH,FALAGOUNTOU,FALAGOUNTOU,18182,22093,16141,5952,73.05934006
SAH,GORGADJI,GORGADJI,29913,36344,12901,23443,35.49691834
SAH,SAMPELGA,SAMPELGA,19232,23365,13578,9787,58.11256152
SAH,SEYTENGA,SEYTENGA,31586,38374,20211,18163,52.66847345
SAH,ARBINDA,ARBINDA,91017,110587,46435,64152,41.98956478
SAH,BARABOULE,BARABOULE,29323,35622,18383,17239,51.60574926
SAH,DIGUEL,DIGUEL,8988,10920,7363,3557,67.42673993
SAH,DJIBO,DJIBO,30949,37597,20160,17437,53.62129957
SAH,KELBO,KELBO,24152,29342,20266,9076,69.06822984
SAH,KOUTOUGOU,KOUTOUGOU,18653,22663,8519,14144,37.58990425
SAH,NASSOUMBOU,NASSOUMBOU,20165,24501,11871,12630,48.45108363
SAH,POBE-MENGAO,POBE-MENGAO,23898,29035,18693,10342,64.38091958
SAH,TONGOMAYEL,TONGOMAYEL,70370,85489,34786,50703,40.69061517
SAH,BOUNDORE,BOUNDORE,22776,27670,17632,10038,63.72244308
SAH,MANSILA,MANSILA,42809,52016,36150,15866,69.49784682
SAH,SEBBA,SEBBA,26468,32156,21158,10998,65.79798482
SAH,SOLHAN,SOLHAN,25108,30508,18314,12194,60.03015602
SAH,TANKOUGOUNADIE,TANKOUGOUNADIE,16079,19537,13423,6114,68.70553309
SAH,TITABE,TITABE,20639,25076,15505,9571,61.83203063
