province,commune,tax_raised,taxes_forecast_score,number_personnel,procurement,meetings_held2,region,meeting_score,meetings_held,attendance_score,average_attendance,procurement_score,tax_score,taxes_forecast,commune_type,meeting_score2
SEN,SEYTENGA,952,10.0,8,95.0,0,SAH,4,3,10.0,160,17.0,4.1,102.47,Rurale,0
SOU,ARBINDA,0,0.0,7,97.0,0,SAH,5,4,10.0,255,16.6,0,52.02,Rurale,0
SOU,BARABOULE,330,10.0,5,95.0,0,SAH,5,4,10.0,137,17.0,2.4,141.56,Rurale,0
SOU,DIGUEL,479,10.0,5,65.0,0,SAH,3,2,0.6,28,9.0,3.6,190.6,Rurale,0
SOU,DJIBO,2846,10.0,8,87.0,0,SAH,5,4,10.0,196,12.6,12.8,110.52,Urbain,0
SOU,KELBO,197,1.4,7,80.0,0,SAH,5,4,6.9,81,12.0,1.0,63.2,Rurale,0
SOU,KOUTOUGOU,1227,4.6,5,76.0,0,SAH,5,4,8.9,91,10.8,6.9,77.03,Rurale,0
SOU,NASSOUMBOU,303,0.0,7,64.0,1,SAH,5,4,4.9,62,7.2,2.5,53.97,Rurale,2
SOU,POBE-MENGAO,836,9.0,6,50.0,0,SAH,5,4,6.6,84,6.0,4.4,99.96,Rurale,0
SOU,TONGOMAYEL,303,6.5,6,63.0,0,SAH,4,3,10.0,199,7.4,2.5,87.39,Rurale,0
YAG,BOUNDORE,127,0.0,5,65.0,0,SAH,4,3,10.0,103,9.0,1.7,57.85,Rurale,0
YAG,MANSILA,21,4.1,6,70.0,0,SAH,3,2,4.2,76,10.0,0.0,79.68,Rurale,0
YAG,SEBBA,1681,10.0,6,28.0,1,SAH,4,3,10.0,124,1.2,7.3,102.43,Urbain,2
YAG,SOLHAN,159,3.0,5,95.0,0,SAH,4,3,1.6,49,17.0,1.4,74.91,Rurale,0
YAG,TANKOUGOUNADIE,0,4.1,4,70.0,0,SAH,4,3,5.0,61,10.0,0,79.7,Rurale,0
YAG,TITABE,125,5.9,5,90.0,0,SAH,3,2,1.7,46,15.0,1.8,80.63,Rurale,0
